UF;Ano;Total
11 Rondônia;2021;25439
12 Acre;2021;15699
13 Amazonas;2021;78454
14 Roraima;2021;13901
15 Pará;2021;137129
16 Amapá;2021;14993
17 Tocantins;2021;23747
21 Maranhão;2021;108667
22 Piauí;2021;45978
23 Ceará;2021;120266
24 Rio Grande do Norte;2021;43430
25 Paraíba;2021;56049
26 Pernambuco;2021;126211
27 Alagoas;2021;48808
28 Sergipe;2021;31206
29 Bahia;2021;185459
31 Minas Gerais;2021;242136
32 Espírito Santo;2021;52493
33 Rio de Janeiro;2021;189866
35 São Paulo;2021;525239
41 Paraná;2021;141976
42 Santa Catarina;2021;96499
43 Rio Grande do Sul;2021;124446
50 Mato Grosso do Sul;2021;42173
51 Mato Grosso;2021;57841
52 Goiás;2021;90961
53 Distrito Federal;2021;38035
